Test_ID,varying,held_k2,mean_abs_delta,max_abs_delta,held_k1
H.10.1,k1,2.0,,,
H.10.1,k1,3.0,,,
H.10.1,k1,4.0,,,
H.10.1,k1,5.0,,,
H.10.1,k2,,,,2.0
H.10.1,k2,,,,3.0
H.10.1,k2,,,,4.0
H.10.1,k2,,,,5.0
H.10.2,k1,2.0,,,
H.10.2,k1,3.0,,,
H.10.2,k1,4.0,,,
H.10.2,k1,5.0,,,
H.10.2,k2,,,,2.0
H.10.2,k2,,,,3.0
H.10.2,k2,,,,4.0
H.10.2,k2,,,,5.0
H.10.3,k1,2.0,,,
H.10.3,k1,3.0,,,
H.10.3,k1,4.0,,,
H.10.3,k1,5.0,,,
H.10.3,k2,,,,2.0
H.10.3,k2,,,,3.0
H.10.3,k2,,,,4.0
H.10.3,k2,,,,5.0
H.10.4,k1,2.0,,,
H.10.4,k1,3.0,,,
H.10.4,k1,4.0,,,
H.10.4,k1,5.0,,,
H.10.4,k2,,,,2.0
H.10.4,k2,,,,3.0
H.10.4,k2,,,,4.0
H.10.4,k2,,,,5.0
H.20.1,k1,2.0,,,
H.20.1,k1,3.0,,,
H.20.1,k1,4.0,,,
H.20.1,k1,5.0,,,
H.20.1,k2,,0.0,0.0,2.0
H.20.1,k2,,,,3.0
H.20.1,k2,,,,4.0
H.20.1,k2,,,,5.0
H.20.2,k1,2.0,,,
H.20.2,k1,3.0,,,
H.20.2,k1,4.0,,,
H.20.2,k1,5.0,,,
H.20.2,k2,,,,2.0
H.20.2,k2,,,,3.0
H.20.2,k2,,,,4.0
H.20.2,k2,,,,5.0
H.20.3,k1,2.0,,,
H.20.3,k1,3.0,,,
H.20.3,k1,4.0,,,
H.20.3,k1,5.0,,,
H.20.3,k2,,,,2.0
H.20.3,k2,,,,3.0
H.20.3,k2,,,,4.0
H.20.3,k2,,,,5.0
H.20.4,k1,2.0,0.0,0.0,
H.20.4,k1,3.0,0.0,0.0,
H.20.4,k1,4.0,0.0,0.0,
H.20.4,k1,5.0,0.0,0.0,
H.20.4,k2,,0.0,0.0,2.0
H.20.4,k2,,0.0,0.0,3.0
H.20.4,k2,,,,4.0
H.20.4,k2,,,,5.0
H.30.1,k1,2.0,,,
H.30.1,k1,3.0,,,
H.30.1,k1,4.0,,,
H.30.1,k1,5.0,,,
H.30.1,k2,,0.0,0.0,2.0
H.30.1,k2,,,,3.0
H.30.1,k2,,,,4.0
H.30.1,k2,,,,5.0
H.30.2,k1,2.0,0.0,0.0,
H.30.2,k1,3.0,0.0,0.0,
H.30.2,k1,4.0,0.0,0.0,
H.30.2,k1,5.0,0.0,0.0,
H.30.2,k2,,32.666666666666664,98.0,2.0
