Test_ID,Print_Quality,Applied_Stress_MPa,k1,k2,primary_end_idx,secondary_end_idx,has_tertiary
H.10.1,High,9.633935482792346,2,2,,,False
H.10.1,High,9.633935482792346,2,3,,,False
H.10.1,High,9.633935482792346,2,4,,,False
H.10.1,High,9.633935482792346,2,5,,,False
H.10.1,High,9.633935482792346,3,2,,,False
H.10.1,High,9.633935482792346,3,3,,,False
H.10.1,High,9.633935482792346,3,4,,,False
H.10.1,High,9.633935482792346,3,5,,,False
H.10.1,High,9.633935482792346,4,2,,,False
H.10.1,High,9.633935482792346,4,3,,,False
H.10.1,High,9.633935482792346,4,4,,,False
H.10.1,High,9.633935482792346,4,5,,,False
H.10.1,High,9.633935482792346,5,2,,,False
H.10.1,High,9.633935482792346,5,3,,,False
H.10.1,High,9.633935482792346,5,4,,,False
H.10.1,High,9.633935482792346,5,5,,,False
S.20.1,Standard,19.965524420924783,2,2,,,False
S.20.1,Standard,19.965524420924783,2,3,,,False
S.20.1,Standard,19.965524420924783,2,4,,,False
S.20.1,Standard,19.965524420924783,2,5,,,False
S.20.1,Standard,19.965524420924783,3,2,,,False
S.20.1,Standard,19.965524420924783,3,3,,,False
S.20.1,Standard,19.965524420924783,3,4,,,False
S.20.1,Standard,19.965524420924783,3,5,,,False
S.20.1,Standard,19.965524420924783,4,2,,,False
S.20.1,Standard,19.965524420924783,4,3,,,False
S.20.1,Standard,19.965524420924783,4,4,,,False
S.20.1,Standard,19.965524420924783,4,5,,,False
S.20.1,Standard,19.965524420924783,5,2,,,False
S.20.1,Standard,19.965524420924783,5,3,,,False
S.20.1,Standard,19.965524420924783,5,4,,,False
S.20.1,Standard,19.965524420924783,5,5,,,False
H.30.1,High,29.141543101281737,2,2,366.0,479.0,False
H.30.1,High,29.141543101281737,2,3,366.0,479.0,False
H.30.1,High,29.141543101281737,2,4,366.0,479.0,False
H.30.1,High,29.141543101281737,2,5,366.0,479.0,False
H.30.1,High,29.141543101281737,3,2,,,False
H.30.1,High,29.141543101281737,3,3,,,False
H.30.1,High,29.141543101281737,3,4,,,False
H.30.1,High,29.141543101281737,3,5,,,False
H.30.1,High,29.141543101281737,4,2,,,False
H.30.1,High,29.141543101281737,4,3,,,False
H.30.1,High,29.141543101281737,4,4,,,False
H.30.1,High,29.141543101281737,4,5,,,False
H.30.1,High,29.141543101281737,5,2,,,False
H.30.1,High,29.141543101281737,5,3,,,False
H.30.1,High,29.141543101281737,5,4,,,False
H.30.1,High,29.141543101281737,5,5,,,False
H.20.1,High,19.814428019182262,2,2,145.0,434.0,False
H.20.1,High,19.814428019182262,2,3,145.0,434.0,False
H.20.1,High,19.814428019182262,2,4,145.0,434.0,False
H.20.1,High,19.814428019182262,2,5,145.0,434.0,False
H.20.1,High,19.814428019182262,3,2,,,False
H.20.1,High,19.814428019182262,3,3,,,False
H.20.1,High,19.814428019182262,3,4,,,False
H.20.1,High,19.814428019182262,3,5,,,False
H.20.1,High,19.814428019182262,4,2,,,False
H.20.1,High,19.814428019182262,4,3,,,False
H.20.1,High,19.814428019182262,4,4,,,False
H.20.1,High,19.814428019182262,4,5,,,False
H.20.1,High,19.814428019182262,5,2,,,False
H.20.1,High,19.814428019182262,5,3,,,False
H.20.1,High,19.814428019182262,5,4,,,False
H.20.1,High,19.814428019182262,5,5,,,False
H.30.2,High,29.082705258273663,2,2,288.0,395.0,True
H.30.2,High,29.082705258273663,2,3,288.0,493.0,False
H.30.2,High,29.082705258273663,2,4,288.0,493.0,False
H.30.2,High,29.082705258273663,2,5,288.0,493.0,False
H.30.2,High,29.082705258273663,3,2,288.0,493.0,False
H.30.2,High,29.082705258273663,3,3,288.0,493.0,False
H.30.2,High,29.082705258273663,3,4,288.0,493.0,False
H.30.2,High,29.082705258273663,3,5,288.0,493.0,False
H.30.2,High,29.082705258273663,4,2,288.0,493.0,False
H.30.2,High,29.082705258273663,4,3,288.0,493.0,False
H.30.2,High,29.082705258273663,4,4,288.0,493.0,False
H.30.2,High,29.082705258273663,4,5,288.0,493.0,False
