Print_Quality,k1,k2,fraction_with_tertiary
High,2,2,0.16666666666666666
High,2,3,0.08333333333333333
High,2,4,0.08333333333333333
High,2,5,0.08333333333333333
High,3,2,0.08333333333333333
High,3,3,0.08333333333333333
High,3,4,0.08333333333333333
High,3,5,0.08333333333333333
High,4,2,0.08333333333333333
High,4,3,0.08333333333333333
High,4,4,0.08333333333333333
High,4,5,0.08333333333333333
High,5,2,0.08333333333333333
High,5,3,0.08333333333333333
High,5,4,0.08333333333333333
High,5,5,0.08333333333333333
Standard,2,2,0.16666666666666666
Standard,2,3,0.16666666666666666
Standard,2,4,0.08333333333333333
Standard,2,5,0.08333333333333333
Standard,3,2,0.16666666666666666
Standard,3,3,0.16666666666666666
Standard,3,4,0.08333333333333333
Standard,3,5,0.08333333333333333
Standard,4,2,0.16666666666666666
Standard,4,3,0.16666666666666666
Standard,4,4,0.08333333333333333
Standard,4,5,0.08333333333333333
Standard,5,2,0.16666666666666666
Standard,5,3,0.16666666666666666
Standard,5,4,0.08333333333333333
Standard,5,5,0.08333333333333333
